source_id,role,trace_type,profile,path_root,path,kind,metric,value,checked_at_utc,scope,evidence_key,access_status,notes
agentx_256k,published_production_derived,production_derived,semantic_trace,benchmark,agent_benchmark_traces/agentx_256k/traces.jsonl,file,main_requests,28444,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.agentx,locator_exists,"Local dataset card: proxy-derived v7, filtered >=20 requests before cap, non-image, 256k cap, timeline shifts. Not complete production sessions; source main_turns is not all-agent turns."
agentx_256k,published_production_derived,production_derived,semantic_trace,benchmark,agent_benchmark_traces/agentx_256k/traces.jsonl,file,model_requests,68266,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.agentx,locator_exists,"Local dataset card: proxy-derived v7, filtered >=20 requests before cap, non-image, 256k cap, timeline shifts. Not complete production sessions; source main_turns is not all-agent turns."
agentx_256k,published_production_derived,production_derived,semantic_trace,benchmark,agent_benchmark_traces/agentx_256k/traces.jsonl,file,subagent_groups,1697,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.agentx,locator_exists,"Local dataset card: proxy-derived v7, filtered >=20 requests before cap, non-image, 256k cap, timeline shifts. Not complete production sessions; source main_turns is not all-agent turns."
agentx_256k,published_production_derived,production_derived,semantic_trace,benchmark,agent_benchmark_traces/agentx_256k/traces.jsonl,file,input_tokens,6891228864,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.agentx,locator_exists,"Local dataset card: proxy-derived v7, filtered >=20 requests before cap, non-image, 256k cap, timeline shifts. Not complete production sessions; source main_turns is not all-agent turns."
agentx_256k,published_production_derived,production_derived,semantic_trace,benchmark,agent_benchmark_traces/agentx_256k/traces.jsonl,file,output_tokens,58728807,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.agentx,locator_exists,"Local dataset card: proxy-derived v7, filtered >=20 requests before cap, non-image, 256k cap, timeline shifts. Not complete production sessions; source main_turns is not all-agent turns."
agentx_256k,published_production_derived,production_derived,semantic_trace,benchmark,agent_benchmark_traces/agentx_256k/traces.jsonl,file,sessions,393,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.agentx,locator_exists,"Local dataset card: proxy-derived v7, filtered >=20 requests before cap, non-image, 256k cap, timeline shifts. Not complete production sessions; source main_turns is not all-agent turns."
agentx_256k,published_production_derived,production_derived,semantic_trace,benchmark,agent_benchmark_traces/agentx_256k/traces.jsonl,file,groups_missing_tool_use_count,1697,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.agentx,locator_exists,"Local dataset card: proxy-derived v7, filtered >=20 requests before cap, non-image, 256k cap, timeline shifts. Not complete production sessions; source main_turns is not all-agent turns."
agentx_256k,published_production_derived,production_derived,semantic_trace,benchmark,agent_benchmark_traces/agentx_256k/traces.jsonl,file,requests_missing_api_time,0,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.agentx,locator_exists,"Local dataset card: proxy-derived v7, filtered >=20 requests before cap, non-image, 256k cap, timeline shifts. Not complete production sessions; source main_turns is not all-agent turns."
applied_agentic_coding,published_template,production_derived,macro_template,benchmark,agent_benchmark_traces/applied_compute/agentic_coding_8k.jsonl,file,records,8192,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.applied_compute.agentic_coding_8k.jsonl,locator_exists,"Length fields are template token parameters; tool delay in seconds is simulated, not observed local execution. No real timestamps."
applied_agentic_coding,published_template,production_derived,macro_template,benchmark,agent_benchmark_traces/applied_compute/agentic_coding_8k.jsonl,file,min_num_turns,1,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.applied_compute.agentic_coding_8k.jsonl,locator_exists,"Length fields are template token parameters; tool delay in seconds is simulated, not observed local execution. No real timestamps."
applied_agentic_coding,published_template,production_derived,macro_template,benchmark,agent_benchmark_traces/applied_compute/agentic_coding_8k.jsonl,file,n_zero_templates,0,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.applied_compute.agentic_coding_8k.jsonl,locator_exists,"Length fields are template token parameters; tool delay in seconds is simulated, not observed local execution. No real timestamps."
applied_code_qa,published_template,production_derived,macro_template,benchmark,agent_benchmark_traces/applied_compute/code_qa_8k.jsonl,file,records,8192,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.applied_compute.code_qa_8k.jsonl,locator_exists,"Length fields are template token parameters; tool delay in seconds is simulated, not observed local execution. No real timestamps."
applied_code_qa,published_template,production_derived,macro_template,benchmark,agent_benchmark_traces/applied_compute/code_qa_8k.jsonl,file,min_num_turns,1,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.applied_compute.code_qa_8k.jsonl,locator_exists,"Length fields are template token parameters; tool delay in seconds is simulated, not observed local execution. No real timestamps."
applied_code_qa,published_template,production_derived,macro_template,benchmark,agent_benchmark_traces/applied_compute/code_qa_8k.jsonl,file,n_zero_templates,0,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.applied_compute.code_qa_8k.jsonl,locator_exists,"Length fields are template token parameters; tool delay in seconds is simulated, not observed local execution. No real timestamps."
applied_office_work,published_template,production_derived,macro_template,benchmark,agent_benchmark_traces/applied_compute/office_work_8k.jsonl,file,records,8192,2026-09-10T02:32:38.422627+00:00,current_audit_unless_historical_role,counts.applied_compute.office_work_8k.jsonl,locator_exists,"Length fields are template token parameters; tool delay in seconds is simulated, not observed local execution. No real timestamps."
